hora,vazao_dia1,pressao_dia1,vazao_dia2,pressao_dia2,vazao_dia3,pressao_dia3
1,8.11,6.89,7.42,6.65,7.67,6.91
2,7.83,7.25,7.23,7.41,7.46,7.26
3,7.76,7.12,7.20,7.45,7.76,7.12
4,7.80,6.51,7.28,7.46,8.18,7.30
5,8.08,6.42,7.53,7.38,8.44,7.16
6,9.69,6.18,8.99,6.85,9.24,7.05
7,11.52,4.83,10.50,5.47,11.05,6.43
8,11.92,3.57,12.18,5.69,12.55,3.96
9,13.08,4.67,13.01,4.05,13.65,4.70
10,14.22,3.92,13.22,3.99,13.63,3.77
11,15.68,3.70,14.27,4.56,14.98,3.97
12,14.55,3.11,13.63,4.25,14.09,4.06
13,14.78,2.68,13.21,2.87,14.00,4.13
14,13.16,2.55,12.97,3.37,13.06,3.78
15,12.81,3.34,12.36,4.86,12.58,3.12
16,11.64,3.77,11.98,5.99,11.81,3.34
17,13.02,4.70,13.50,6.39,13.40,5.55
18,13.40,4.66,13.27,6.16,14.29,5.41
19,13.55,4.69,14.85,5.16,14.06,4.93
20,12.94,3.77,12.84,3.86,12.69,3.81
21,12.63,4.78,11.29,3.96,12.12,4.37
22,11.45,5.73,10.79,5.49,10.83,5.61
23,9.88,6.24,9.55,6.48,8.93,6.36
24,8.30,6.36,8.60,6.62,8.45,6.49